      PK_Question  FK_QuestionType  Code                                                                                                                                                                                                                                                                                                                                                                       QuestionText
2038        19016               23  FREQ                                                                                                                                                                                                MEAN TIME FOR THE ORGANIZATION TO CONTAIN A SYSTEM INTRUSION OR COMPROMISE AFTER DETECTION OVER THE PRIOR MONTHS PAST DAYS PLEASE INCLUDE TIME AND UNITS SECONDS MINUTES HOURS DAYS
2039        19014               23  FREQ                                                                                                                                                                                                                   MEAN TIME FOR THE ORGANIZATION TO DETECT SYSTEM INTRUSION OR COMPROMISE OVER THE PRIOR MONTHS PAST DAYS PLEASE INCLUDE TIME AND UNITS SECONDS MINUTES HOURS DAYS
2042        19006               23  FREQ                                                                                                                                                                                                                                                                                                                             MEAN TIME TO DETECT A NEW DEVICE TIME BETWEEN SCANS IN
2065        18916               23  FREQ                                                                                                                                                                                                                                                                                                       FREQUENCY WITH WHICH USER PRIVILEGES ARE REVIEWED ACCORDING TO AGENCY POLICY
2096        17714               23  FREQ                                                                                                                                                                        MEAN TIME FOR THE ORGANIZATION TO RESTORE OPERATIONS FOLLOWING THE CONTAINMENT OF A SYSTEM INTRUSION OR COMPROMISE OVER THE PRIOR MONTHS PAST DAYS PLEASE INCLUDE TIME AND UNITS SECONDS MINUTES HOURS DAYS
2100        17694               23  FREQ                                                                                                                                                                                                MEAN TIME FOR THE ORGANIZATION TO CONTAIN A SYSTEM INTRUSION OR COMPROMISE AFTER DETECTION OVER THE PRIOR MONTHS PAST DAYS PLEASE INCLUDE TIME AND UNITS SECONDS MINUTES HOURS DAYS
2101        17692               23  FREQ                                                                                                                                                                                                                   MEAN TIME FOR THE ORGANIZATION TO DETECT SYSTEM INTRUSION OR COMPROMISE OVER THE PRIOR MONTHS PAST DAYS PLEASE INCLUDE TIME AND UNITS SECONDS MINUTES HOURS DAYS
2104        17684               23  FREQ                                                                                                                                                                                                                                                                                                                             MEAN TIME TO DETECT A NEW DEVICE TIME BETWEEN SCANS IN
2127        17594               23  FREQ                                                                                                                                                                                                                                                                                                       FREQUENCY WITH WHICH USER PRIVILEGES ARE REVIEWED ACCORDING TO AGENCY POLICY
2252        16263               23  FREQ                                                                                                                                                                        MEAN TIME FOR THE ORGANIZATION TO RESTORE OPERATIONS FOLLOWING THE CONTAINMENT OF A SYSTEM INTRUSION OR COMPROMISE OVER THE PRIOR MONTHS PAST DAYS PLEASE INCLUDE TIME AND UNITS SECONDS MINUTES HOURS DAYS
2257        16253               23  FREQ                                                                                                                                                                                                MEAN TIME FOR THE ORGANIZATION TO CONTAIN A SYSTEM INTRUSION OR COMPROMISE AFTER DETECTION OVER THE PRIOR MONTHS PAST DAYS PLEASE INCLUDE TIME AND UNITS SECONDS MINUTES HOURS DAYS
2259        16251               23  FREQ                                                                                                                                                                                                                   MEAN TIME FOR THE ORGANIZATION TO DETECT SYSTEM INTRUSION OR COMPROMISE OVER THE PRIOR MONTHS PAST DAYS PLEASE INCLUDE TIME AND UNITS SECONDS MINUTES HOURS DAYS
2262        16243               23  FREQ                                                                                                                                                                                                                                                                                                                             MEAN TIME TO DETECT A NEW DEVICE TIME BETWEEN SCANS IN
2285        16173               23  FREQ                                                                                                                                                                                                                                                                                                       FREQUENCY WITH WHICH USER PRIVILEGES ARE REVIEWED ACCORDING TO AGENCY POLICY
2382        15663               23  FREQ                                                                                                                                                                        MEAN TIME FOR THE ORGANIZATION TO RESTORE OPERATIONS FOLLOWING THE CONTAINMENT OF A SYSTEM INTRUSION OR COMPROMISE OVER THE PRIOR MONTHS PAST DAYS PLEASE INCLUDE TIME AND UNITS SECONDS MINUTES HOURS DAYS
2387        15653               23  FREQ                                                                                                                                                                                                MEAN TIME FOR THE ORGANIZATION TO CONTAIN A SYSTEM INTRUSION OR COMPROMISE AFTER DETECTION OVER THE PRIOR MONTHS PAST DAYS PLEASE INCLUDE TIME AND UNITS SECONDS MINUTES HOURS DAYS
2389        15651               23  FREQ                                                                                                                                                                                                                   MEAN TIME FOR THE ORGANIZATION TO DETECT SYSTEM INTRUSION OR COMPROMISE OVER THE PRIOR MONTHS PAST DAYS PLEASE INCLUDE TIME AND UNITS SECONDS MINUTES HOURS DAYS
2392        15638               23  FREQ                                                                                                                                                                                                                                                                                                                             MEAN TIME TO DETECT A NEW DEVICE TIME BETWEEN SCANS IN
2415        15574               23  FREQ                                                                                                                                                                                                                                                                                                       FREQUENCY WITH WHICH USER PRIVILEGES ARE REVIEWED ACCORDING TO AGENCY POLICY
2616        14253               35   DEC                                                                                                                                                                        MEAN TIME FOR THE ORGANIZATION TO RESTORE OPERATIONS FOLLOWING THE CONTAINMENT OF A SYSTEM INTRUSION OR COMPROMISE OVER THE PRIOR MONTHS PAST DAYS PLEASE INCLUDE TIME AND UNITS SECONDS MINUTES HOURS DAYS
2621        14230               35   DEC                                                                                                                                                                                                MEAN TIME FOR THE ORGANIZATION TO CONTAIN A SYSTEM INTRUSION OR COMPROMISE AFTER DETECTION OVER THE PRIOR MONTHS PAST DAYS PLEASE INCLUDE TIME AND UNITS SECONDS MINUTES HOURS DAYS
2623        14228               35   DEC                                                                                                                                                                                                                   MEAN TIME FOR THE ORGANIZATION TO DETECT SYSTEM INTRUSION OR COMPROMISE OVER THE PRIOR MONTHS PAST DAYS PLEASE INCLUDE TIME AND UNITS SECONDS MINUTES HOURS DAYS
2626        14213               35   DEC                                                                                                                                                                                                                                                                                                                             MEAN TIME TO DETECT A NEW DEVICE TIME BETWEEN SCANS IN
2649        14105               35   DEC                                                                                                                                                                                                                                                                                                       FREQUENCY WITH WHICH USER PRIVILEGES ARE REVIEWED ACCORDING TO AGENCY POLICY
2671        12946               35   DEC                                                                                                                                                                        MEAN TIME FOR THE ORGANIZATION TO RESTORE OPERATIONS FOLLOWING THE CONTAINMENT OF A SYSTEM INTRUSION OR COMPROMISE OVER THE PRIOR MONTHS PAST DAYS PLEASE INCLUDE TIME AND UNITS SECONDS MINUTES HOURS DAYS
2676        12929               35   DEC                                                                                                                                                                                                MEAN TIME FOR THE ORGANIZATION TO CONTAIN A SYSTEM INTRUSION OR COMPROMISE AFTER DETECTION OVER THE PRIOR MONTHS PAST DAYS PLEASE INCLUDE TIME AND UNITS SECONDS MINUTES HOURS DAYS
2678        12927               35   DEC                                                                                                                                                                                                                   MEAN TIME FOR THE ORGANIZATION TO DETECT SYSTEM INTRUSION OR COMPROMISE OVER THE PRIOR MONTHS PAST DAYS PLEASE INCLUDE TIME AND UNITS SECONDS MINUTES HOURS DAYS
2681        12907               35   DEC                                                                                                                                                                                                                                                                                                                             MEAN TIME TO DETECT A NEW DEVICE TIME BETWEEN SCANS IN
2704        12803               35   DEC                                                                                                                                                                                                                                                                                                       FREQUENCY WITH WHICH USER PRIVILEGES ARE REVIEWED ACCORDING TO AGENCY POLICY
2781        12329               35   DEC                                                                                                                                                                                                     MEAN TIME FOR THE ORGANIZATION TO RESTORE OPERATIONS FOLLOWING THE CONTAINMENT OF A SYSTEM INTRUSION OR COMPROMISE OVER THE PRIOR MONTHS PAST DAYS PLEASE INCLUDE TIME IN DAYS
2786        12311               35   DEC                                                                                                                                                                                                                             MEAN TIME FOR THE ORGANIZATION TO CONTAIN A SYSTEM INTRUSION OR COMPROMISE AFTER DETECTION OVER THE PRIOR MONTHS PAST DAYS PLEASE INCLUDE TIME IN DAYS
2788        12309               35   DEC                                                                                                                                                                                                                                                MEAN TIME FOR THE ORGANIZATION TO DETECT SYSTEM INTRUSION OR COMPROMISE OVER THE PRIOR MONTHS PAST DAYS PLEASE INCLUDE TIME IN DAYS
2792        12292               35   DEC                                                                                                                                                                                                                                                                                                                             MEAN TIME TO DETECT A NEW DEVICE TIME BETWEEN SCANS IN
2812        12208               35   DEC                                                                                                                                                                                                                                                                                                       FREQUENCY WITH WHICH USER PRIVILEGES ARE REVIEWED ACCORDING TO AGENCY POLICY
2908        11676               35   DEC                                                                                                                                                                                                     MEAN TIME FOR THE ORGANIZATION TO RESTORE OPERATIONS FOLLOWING THE CONTAINMENT OF A SYSTEM INTRUSION OR COMPROMISE OVER THE PRIOR MONTHS PAST DAYS PLEASE INCLUDE TIME IN DAYS
2913        11658               35   DEC                                                                                                                                                                                                                             MEAN TIME FOR THE ORGANIZATION TO CONTAIN A SYSTEM INTRUSION OR COMPROMISE AFTER DETECTION OVER THE PRIOR MONTHS PAST DAYS PLEASE INCLUDE TIME IN DAYS
2915        11656               35   DEC                                                                                                                                                                                                                                                MEAN TIME FOR THE ORGANIZATION TO DETECT SYSTEM INTRUSION OR COMPROMISE OVER THE PRIOR MONTHS PAST DAYS PLEASE INCLUDE TIME IN DAYS
2919        11640               35   DEC                                                                                                                                                                                                                                                                                                                             MEAN TIME TO DETECT A NEW DEVICE TIME BETWEEN SCANS IN
2939        11556               35   DEC                                                                                                                                                                                                                                                                                                       FREQUENCY WITH WHICH USER PRIVILEGES ARE REVIEWED ACCORDING TO AGENCY POLICY
2972        11158               35   DEC                                                                                                                                                                                                                                                                                                               MEAN TIME IN DAYS FOR THE AGENCY TO CONFIRM A CYBERSECURITY INCIDENT
2977        11141               35   DEC                                                                                                                                                                                                                                                                                                                     MEAN TIME IN DAYS TO DETECT A NEW DEVICE TIME BETWEEN SCANS IN
3011        11054               35   DEC                                                                                                                                                                                                                                                                                               FREQUENCY IN DAYS WITH WHICH USER PRIVILEGES ARE REVIEWED ACCORDING TO AGENCY POLICY
3049        10805               35   DEC                                                                                                                                                                                                                                                                                                               MEAN TIME IN DAYS FOR THE AGENCY TO CONFIRM A CYBERSECURITY INCIDENT
3055        10789               35   DEC                                                                                                                                                                                                                                                                                                                     MEAN TIME IN DAYS TO DETECT A NEW DEVICE TIME BETWEEN SCANS IN
3086        10708               35   DEC                                                                                                                                                                                                                                                                                               FREQUENCY IN DAYS WITH WHICH USER PRIVILEGES ARE REVIEWED ACCORDING TO AGENCY POLICY
3196         9954               35   DEC                                                                                                                                                                                                                                                                                                                     MEAN TIME IN DAYS TO DETECT A NEW DEVICE TIME BETWEEN SCANS IN
3210         9849               35   DEC                                                                                                                                                                                                                                     AVERAGE TIME IN DAYS TO REVOKE ROLE-BASED CREDENTIALS FROM ALL OTHER CREDENTIAL HOLDERS FOLLOWING THE END OF THEIR ASSOCIATION WITH THE AGENCY
3211         9848               35   DEC                                                                                                                                                                                                                                                  AVERAGE TIME IN DAYS TO REVOKE ROLE-BASED PRIVILEGES FROM CONTRACTORS FOLLOWING THE TERMINATION OF THEIR EMPLOYMENT AT THE AGENCY
3212         9847               35   DEC                                                                                                                                                                                                                                          AVERAGE TIME IN DAYS TO REVOKE ROLE-BASED PRIVILEGES FROM FEDERAL EMPLOYEES FOLLOWING THE TERMINATION OF THEIR EMPLOYMENT WITH THE AGENCY
3320         9093               35   DEC                                                                                                                                                                                                                                                                                                                     MEAN TIME IN DAYS TO DETECT A NEW DEVICE TIME BETWEEN SCANS IN
3334         8976               35   DEC                                                                                                                                                                                                                                     AVERAGE TIME IN DAYS TO REVOKE ROLE-BASED CREDENTIALS FROM ALL OTHER CREDENTIAL HOLDERS FOLLOWING THE END OF THEIR ASSOCIATION WITH THE AGENCY
3335         8975               35   DEC                                                                                                                                                                                                                                                  AVERAGE TIME IN DAYS TO REVOKE ROLE-BASED PRIVILEGES FROM CONTRACTORS FOLLOWING THE TERMINATION OF THEIR EMPLOYMENT AT THE AGENCY
3336         8974               35   DEC                                                                                                                                                                                                                                          AVERAGE TIME IN DAYS TO REVOKE ROLE-BASED PRIVILEGES FROM FEDERAL EMPLOYEES FOLLOWING THE TERMINATION OF THEIR EMPLOYMENT WITH THE AGENCY
3368         8643               35   DEC                                                                                                                                                                                                                                                                                                                     MEAN TIME IN DAYS TO DETECT A NEW DEVICE TIME BETWEEN SCANS IN
3385         8376               35   DEC                                                                                                                                                                                                                                     AVERAGE TIME IN DAYS TO REVOKE ROLE-BASED CREDENTIALS FROM ALL OTHER CREDENTIAL HOLDERS FOLLOWING THE END OF THEIR ASSOCIATION WITH THE AGENCY
3386         8375               35   DEC                                                                                                                                                                                                                                                  AVERAGE TIME IN DAYS TO REVOKE ROLE-BASED PRIVILEGES FROM CONTRACTORS FOLLOWING THE TERMINATION OF THEIR EMPLOYMENT AT THE AGENCY
3387         8374               35   DEC                                                                                                                                                                                                                                          AVERAGE TIME IN DAYS TO REVOKE ROLE-BASED PRIVILEGES FROM FEDERAL EMPLOYEES FOLLOWING THE TERMINATION OF THEIR EMPLOYMENT WITH THE AGENCY
3419         8057               35   DEC                                                                                                                                                                                                                                                                                                                             MEAN TIME TO DETECT A NEW DEVICE TIME BETWEEN SCANS IN
3436         7830               35   DEC                                                                                                                                                                                                                                     AVERAGE TIME IN DAYS TO REVOKE ROLE-BASED CREDENTIALS FROM ALL OTHER CREDENTIAL HOLDERS FOLLOWING THE END OF THEIR ASSOCIATION WITH THE AGENCY
3437         7829               35   DEC                                                                                                                                                                                                                                                  AVERAGE TIME IN DAYS TO REVOKE ROLE-BASED PRIVILEGES FROM CONTRACTORS FOLLOWING THE TERMINATION OF THEIR EMPLOYMENT AT THE AGENCY
3438         7828               35   DEC                                                                                                                                                                                                                                          AVERAGE TIME IN DAYS TO REVOKE ROLE-BASED PRIVILEGES FROM FEDERAL EMPLOYEES FOLLOWING THE TERMINATION OF THEIR EMPLOYMENT WITH THE AGENCY
3689         7112               35   DEC                                                                                                                                                                                                                                                                                                                             MEAN TIME TO DETECT A NEW DEVICE TIME BETWEEN SCANS IN
3743         6629               35   DEC                                                                                                                                                                                                                                                                                                                             MEAN TIME TO DETECT A NEW DEVICE TIME BETWEEN SCANS IN
3786         6095               35   DEC                                                                                                                                                                                                                                                                                                                             MEAN TIME TO DETECT A NEW DEVICE TIME BETWEEN SCANS IN
3848         5542               35   DEC                                                                                                                                                                                                                                                                                                                             MEAN TIME TO DETECT A NEW DEVICE TIME BETWEEN SCANS IN
4044         5064               35   DEC  OF ALL OF THE CYBER RELATED ELECTRONIC INCIDENTS WITH CONFIRMED LOSS OF CONFIDENTIALITY INTEGRITY OR AVAILABILITY REPORTED TO US-CERT IN FY PER OMB M-- WHAT WAS THE AVERAGE MEAN TIME IN HOURS BETWEEN DETECTION AND NOTIFICATION TO THE AGENCYS TOP-LEVEL COMPUTER SECURITY INCIDENT RESPONSE TEAM CSIRT SECURITY OPERATIONS CENTER SOC OR INFORMATION TECHNOLOGY IT DEPARTMENT
4058         4999               35   DEC                                                                                                                                                                                                                                                                                                                                WHAT IS THE MEAN TIME TO MITIGATE FOR HIGH FINDINGS
4059         4997               35   DEC                                                                                                                                                                                                                                                                                                                                  WHAT IS THE MEAN TIME BETWEEN VULNERABILITY SCANS
4061         4982               35   DEC                                                                                                                                                                                                                                                                                                                 WHAT IS THE MEAN TIME TO DETECT A NEW DEVICE TIME BETWEEN SCANS IN
4112         4750               35   DEC                                                                                                                                                                                                                                                                                                                   WHAT IS THE REVISED AVERAGE IN DAYS A VULNERABILITY IS UNPATCHED
4113         4749               35   DEC                                                                                                                                                                                                                                                                                                                           WHAT IS THE AVERAGE IN DAYS A VULNERABILITY IS UNPATCHED
4151         4573               35   DEC                                                                                                                                                                                                                                                                                                                   WHAT IS THE REVISED AVERAGE IN DAYS A VULNERABILITY IS UNPATCHED
4152         4571               35   DEC                                                                                                                                                                                                                                                                                                                           WHAT IS THE AVERAGE IN DAYS A VULNERABILITY IS UNPATCHED
4158         4518               35   DEC                                                                                                                                                                                                                                                                                                                                WHAT IS THE MEAN TIME TO MITIGATE FOR HIGH FINDINGS
4159         4517               35   DEC                                                                                                                                                                                                                                                                                                                                  WHAT IS THE MEAN TIME BETWEEN VULNERABILITY SCANS
4160         4504               35   DEC                                                                                                                                                                                                                                                                                                                 WHAT IS THE MEAN TIME TO DETECT A NEW DEVICE TIME BETWEEN SCANS IN
4165         4476               35   DEC                                                                                                                                                                                                                                                                                                                                WHAT IS THE MEAN TIME TO MITIGATE FOR HIGH FINDINGS
4166         4475               35   DEC                                                                                                                                                                                                                                                                                                                                  WHAT IS THE MEAN TIME BETWEEN VULNERABILITY SCANS
4167         4463               35   DEC                                                                                                                                                                                                                                                                                                                 WHAT IS THE MEAN TIME TO DETECT A NEW DEVICE TIME BETWEEN SCANS IN
4183         4348               35   DEC                                                                                                                                                                                                                                                                                                                                WHAT IS THE MEAN TIME TO MITIGATE FOR HIGH FINDINGS
4184         4347               35   DEC                                                                                                                                                                                                                                                                                                                                  WHAT IS THE MEAN TIME BETWEEN VULNERABILITY SCANS
4185         4335               35   DEC                                                                                                                                                                                                                                                                                                                 WHAT IS THE MEAN TIME TO DETECT A NEW DEVICE TIME BETWEEN SCANS IN
