index,ID,Question,Check_Answer,Selections,SML,ML,ML_Score,ML_Scored,Basic_Calc,Basic_Score,Mod_Calc,Mod_Score,Adv_Calc,Adv_Score
132,DP14,"Does the HVA have automated tools (e.g., data loss prevention solutions) that monitor HVA data transfers?",0,Yes,SML1,1,1,0,0.0,0,,,,
133,DP14,"Does the HVA have automated tools (e.g., data loss prevention solutions) that monitor HVA data transfers?",0,No,SML1,1,0,0,0.0,,,,,
134,DP14,"Does the HVA have automated tools (e.g., data loss prevention solutions) that monitor HVA data transfers?",0,Unknown,SML1,1,0.001,0,0.0,,,,,
135,DP14a,If Yes to DP14: Do these automated tools able and configured to log data transfers?,0,Yes,SML1,1,1,0,0.0,0,,,,
136,DP14a,If Yes to DP14: Do these automated tools able and configured to log data transfers?,0,No,SML1,1,0,0,0.0,,,,,
137,DP14a,If Yes to DP14: Do these automated tools able and configured to log data transfers?,0,Unknown,SML1,1,0.001,0,0.0,,,,,
138,DP14a1,If Yes to DP14a: Are copies of these logs sent to a centralized log management service?,0,Yes,SML2,2,1,0,0.0,0,0.0,0,,
139,DP14a1,If Yes to DP14a: Are copies of these logs sent to a centralized log management service?,0,No,SML2,2,0,0,0.0,,0.0,,,
140,DP14a1,If Yes to DP14a: Are copies of these logs sent to a centralized log management service?,0,Unknown,SML2,2,0.001,0,0.0,,0.0,,,
141,DP14b,"If Yes to DP14: Do these tools measure data transfers against a baseline (e.g., can discern between expected and unexpected data transfers)?",0,Yes,SML2,2,1,0,0.0,0,0.0,0,,
142,DP14b,"If Yes to DP14: Do these tools measure data transfers against a baseline (e.g., can discern between expected and unexpected data transfers)?",0,No,SML2,2,0,0,0.0,,0.0,,,
143,DP14b,"If Yes to DP14: Do these tools measure data transfers against a baseline (e.g., can discern between expected and unexpected data transfers)?",0,Unknown,SML2,2,0.001,0,0.0,,0.0,,,
144,DP14c,If Yes to DP14: Do these automated tools actively limit or block unauthorized or unexpected data transfers?,0,Yes,SML3,3,1,0,0.0,0,0.0,0,0.0,0
145,DP14c,If Yes to DP14: Do these automated tools actively limit or block unauthorized or unexpected data transfers?,0,No,SML3,3,0,0,0.0,,0.0,,0.0,
146,DP14c,If Yes to DP14: Do these automated tools actively limit or block unauthorized or unexpected data transfers?,0,Unknown,SML3,3,0.001,0,0.0,,0.0,,0.0,
147,DP14d,"If Yes to DP14: Are these tools specifically configured/tuned to detect HVA data (e.g., data formats or structures)?",0,Yes,SML3,3,1,0,0.0,0,0.0,0,0.0,0
148,DP14d,"If Yes to DP14: Are these tools specifically configured/tuned to detect HVA data (e.g., data formats or structures)?",0,No,SML3,3,0,0,0.0,,0.0,,0.0,
149,DP14d,"If Yes to DP14: Are these tools specifically configured/tuned to detect HVA data (e.g., data formats or structures)?",0,Unknown,SML3,3,0.001,0,0.0,,0.0,,0.0,
150,5) Data Access Controls,"If Yes to DP14: Are these tools specifically configured/tuned to detect HVA data (e.g., data formats or structures)?",0,0,SML3,0,0,0,,,,,,
151,ID,Question,Check Answer,Selections,SML,ML,ML Score,ML Scored,0.0,0,0.0,0,,
152,DP15,Has the agency developed policies and procedures that address logical access to HVA data?,0,Yes,SML1,1,1,0,0.0,0,,,,
153,DP15,Has the agency developed policies and procedures that address logical access to HVA data?,0,No,SML1,1,0,0,0.0,,,,,
154,DP15,Has the agency developed policies and procedures that address logical access to HVA data?,0,Unknown,SML1,1,0.001,0,0.0,,,,,
155,DP15a,"If Yes to DP15: Do these policies and procedures specifically govern data access by privileged users (e.g., administrators, service accounts, service principals)?",0,Yes,SML2,2,1,0,0.0,0,0.0,0,,
156,DP15a,"If Yes to DP15: Do these policies and procedures specifically govern data access by privileged users (e.g., administrators, service accounts, service principals)?",0,No,SML2,2,0,0,0.0,,0.0,,,
157,DP15a,"If Yes to DP15: Do these policies and procedures specifically govern data access by privileged users (e.g., administrators, service accounts, service principals)?",0,Unknown,SML2,2,0.001,0,0.0,,0.0,,,
158,DP15b,If Yes to DP15: Are these policies reviewed and updated at least annually?,0,Yes,SML1,1,1,0,0.0,0,,,,
159,DP15b,If Yes to DP15: Are these policies reviewed and updated at least annually?,0,No,SML1,1,0,0,0.0,,,,,
160,DP15b,If Yes to DP15: Are these policies reviewed and updated at least annually?,0,Unknown,SML1,1,0.001,0,0.0,,,,,
161,DP16,Does the agency log all accesses (successful and failed) to HVA data?,0,Yes,SML1,1,1,0,0.0,0,,,,
162,DP16,Does the agency log all accesses (successful and failed) to HVA data?,0,No,SML1,1,0,0,0.0,,,,,
163,DP16,Does the agency log all accesses (successful and failed) to HVA data?,0,Unknown,SML1,1,0.001,0,0.0,,,,,
164,DP16a,If Yes to DP16: Are copies of these logs sent to a centralized log management service?,0,Yes,SML2,2,1,0,0.0,0,0.0,0,,
165,DP16a,If Yes to DP16: Are copies of these logs sent to a centralized log management service?,0,No,SML2,2,0,0,0.0,,0.0,,,
166,DP16a,If Yes to DP16: Are copies of these logs sent to a centralized log management service?,0,Unknown,SML2,2,0.001,0,0.0,,0.0,,,
167,DP17,Which of the following inputs are used to make HVA data access determinations?  Select all that apply.,x,"Traditional security controls (e.g., static access control lists, requestor's IP address)",SML1,1,1,0,1.0,1,,1,,1
168,,Which of the following inputs are used to make HVA data access determinations?  Select all that apply.,0,"Least-privilege controls (e.g., requestor's identity attributes, device risk, access request date/time)",SML2,2,1,0,0.0,,0.0,,,
169,,Which of the following inputs are used to make HVA data access determinations?  Select all that apply.,x,"Dynamic controls (e.g., just-in-time and just-enough access principles, continuous risk-based determinations)",SML3,3,1,0,1.0,,1.0,,1.0,
170,,Which of the following inputs are used to make HVA data access determinations?  Select all that apply.,0,Unknown,SML3,1,0.001,0,0.0,,,,,
171,DP17a,If Yes to DP17: Is access to HVA data by privileged users subject to the same or stricter controls and monitoring?,0,Yes,SML3,3,1,0,0.0,0,0.0,0,0.0,0
172,DP17a,If Yes to DP17: Is access to HVA data by privileged users subject to the same or stricter controls and monitoring?,0,No,SML3,3,0,0,0.0,,0.0,,0.0,
173,DP17a,If Yes to DP17: Is access to HVA data by privileged users subject to the same or stricter controls and monitoring?,0,Unknown,SML3,3,0.001,0,0.0,,0.0,,0.0,
174,"6) Data Categorization, Labeling, and Inventorying",If Yes to DP17: Is access to HVA data by privileged users subject to the same or stricter controls and monitoring?,0,0,SML3,0,0,0,,0,,0,,0
175,ID,Question,Check Answer,Selections,SML,ML,ML Score,ML Scored,0.0,,0.0,,,
176,DP18,"Is the HVA capable of tagging/labeling data (e.g., metadata is generated and maintained to describe data)?",0,Yes,SML3,3,1,0,0.0,0,0.0,0,0.0,0
177,DP18,"Is the HVA capable of tagging/labeling data (e.g., metadata is generated and maintained to describe data)?",0,No,SML3,3,0,0,0.0,,0.0,,0.0,
178,DP18,"Is the HVA capable of tagging/labeling data (e.g., metadata is generated and maintained to describe data)?",0,Unknown,SML3,3,0.001,0,0.0,,0.0,,0.0,
179,DP18a,If Yes to DP18: Has the agency developed a set of data tags/labels specifically for HVA data type(s)?,0,Yes,SML3,3,1,0,0.0,0,0.0,0,0.0,0
180,DP18a,If Yes to DP18: Has the agency developed a set of data tags/labels specifically for HVA data type(s)?,0,No,SML3,3,0,0,0.0,,0.0,,0.0,
181,DP18a,If Yes to DP18: Has the agency developed a set of data tags/labels specifically for HVA data type(s)?,0,Unknown,SML3,3,0.001,0,0.0,,0.0,,0.0,
182,DP18b,If Yes to DP18: Are tags/labels automatically applied to HVA data?,0,Yes,SML3,3,1,0,0.0,0,0.0,0,0.0,0
183,DP18b,If Yes to DP18: Are tags/labels automatically applied to HVA data?,0,No,SML3,3,0,0,0.0,,0.0,,0.0,
184,DP18b,If Yes to DP18: Are tags/labels automatically applied to HVA data?,0,Unknown,SML3,3,0.001,0,0.0,,0.0,,0.0,
185,DP18c,If Yes to DP18: Are data tags/labels used when making access control determinations?,0,Yes,SML3,3,1,0,0.0,0,0.0,0,0.0,0
186,DP18c,If Yes to DP18: Are data tags/labels used when making access control determinations?,0,No,SML3,3,0,0,0.0,,0.0,,0.0,
187,DP18c,If Yes to DP18: Are data tags/labels used when making access control determinations?,0,Unknown,SML3,3,0.001,0,0.0,,0.0,,0.0,
188,DP19,Is HVA data cataloged in a data inventory system?,0,Yes,SML3,3,1,0,0.0,0,0.0,0,0.0,0
189,DP19,Is HVA data cataloged in a data inventory system?,0,No,SML3,3,0,0,0.0,,0.0,,0.0,
190,DP19,Is HVA data cataloged in a data inventory system?,0,Unknown,SML3,3,0.001,0,0.0,,0.0,,0.0,
191,7) Data Disposal and Retirement,Is HVA data cataloged in a data inventory system?,0,0,SML3,0,0,0,,0,,0,,
192,ID,Question,Check Answer,Selections,SML,ML,ML Score,ML Scored,0.0,,0.0,,,
193,DP20,Does the agency identify and track HVA data that is no longer needed or in use?,0,Yes,SML2,2,1,0,0.0,0,0.0,0,,
194,DP20,Does the agency identify and track HVA data that is no longer needed or in use?,0,No,SML2,2,0,0,0.0,,0.0,,,
195,DP20,Does the agency identify and track HVA data that is no longer needed or in use?,0,Unknown,SML2,2,0.001,0,0.0,,0.0,,,
196,DP20a,If Yes to DP20: Does the agency dispose of all unneeded copies of HVA data?,0,Yes,SML2,2,1,0,0.0,0,0.0,0,,
197,DP20a,If Yes to DP20: Does the agency dispose of all unneeded copies of HVA data?,0,No,SML2,2,0,0,0.0,,0.0,,,
198,DP20a,If Yes to DP20: Does the agency dispose of all unneeded copies of HVA data?,0,Unknown,SML2,2,0.001,0,0.0,,0.0,,,
199,DP21,Does the agency sanitize/wipe media used to store HVA data prior to retirement or repurposing?,0,Yes,SML1,1,1,0,0.0,0,,,,
200,DP21,Does the agency sanitize/wipe media used to store HVA data prior to retirement or repurposing?,0,No,SML1,1,0,0,0.0,,,,,
