{QuestionText},{helptext},{idt},{FK_PickListType},{FK_QuestionType},{pre},{FK_QuestionGroup},{sortpos},{PK_Question}
"Provide any additional information on the effectiveness (positive or negative) of the organization’s risk management program that was not noted in the questions above. Taking into consideration the overall maturity level generated from the questions above and based on all testing performed, is the risk management program effective?",,11,85,9,",",@PK_QGroup+2,11,53020
"To what extent does the organization use an organization wide SCRM strategy to manage the supply chain risks associated with the development, acquisition, maintenance, and disposal of systems, system components, and system services?","<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong>The organization has not defined and communicated an organization wide SCRM strategy.</li><li> <strong>Defined:</strong></li><li> <strong>Consistently Implemented:</strong></li><li> <strong>Managed and Measurable:</strong>The organization monitors and analyzes qualitative and quantitative performance measures on the effectiveness of its SCRM strategy and makes updates, as appropriate.
The organization ensures that data supporting  metrics are obtained accurately, consistently, and in a reproducible format.</li><li> <strong>Optimized:</strong>The organization`s SCRM strategy is fully integrated with its enterprise risk management strategy and program.
On a near real-time basis, the organization actively adapts its SCRM strategy to respond to evolving and sophisticated threats.</li></ul>",12,85,17,,@PK_QGroup+3,1,53031
To what extent does the organization use SCRM policies and procedures to manage SCRM activities at all organizational tiers?,"<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong>The organization has not defined and communicated its SCRM policies, procedures, and processes.</li><li> <strong>Defined:</strong></li><li> <strong>Consistently Implemented:</strong></li><li> <strong>Managed and Measurable:</strong>The organization monitors, analyzes, and reports on the qualitative and quantitative performance measures  used to gauge the effectiveness of its SCRM policies and procedures and ensures that data supporting the metrics is obtained accurately, consistently, and in a reproducible format.
The organization has integrated SCRM processes across its enterprise, including personnel security and physical security programs, hardware, software, and firmware development processes, configuration management tools, techniques, and measures to maintain provenance (as appropriate); shipping and handling procedures; and programs, processes, or procedures associated with the production and distribution of supply chain
elements.</li><li> <strong>Optimized:</strong>In a near real-time basis, the organization can update its SCRM policies, procedures, and processes, as appropriate, to respond to evolving and sophisticated threats.</li></ul>",13,85,17,",",@PK_QGroup+3,2,53032
"To what extent does the organization ensure that products, system components, systems, and services of external providers are consistent with the organization’s cybersecurity and supply chain requirements?","<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong>The organization has not defined and communicated policies, procedures, and processes to ensure that [organizationally defined products, system components, systems, and services] adhere to its cybersecurity and supply chain risk management requirements.</li><li> <strong>Defined:</strong></li><li> <strong>Consistently Implemented:</strong></li><li> <strong>Managed and Measurable:</strong>The organization uses qualitative and quantitative performance metrics (e.g., those defined within SLAs) to measure, report on, and monitor the information security and SCRM performance of organizationally defined products, systems, and services provided by external providers.
In addition, the organization has incorporated supplier risk evaluations, based on criticality, into its continuous monitoring practices to maintain situational awareness into the supply chain risks.</li><li> <strong>Optimized:</strong>The organization analyzes, in a near-real time basis, the impact of material changes to security and SCRM assurance requirements on its relationships with external providers and ensures that acquisition tools, methods, and processes are updated as soon as possible.</li></ul>",14,85,17,",",@PK_QGroup+3,3,53033
To what extent does the organization ensure that counterfeit components are detected and prevented from entering the organization’s systems?,"<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong>The organization has not defined and communicated its component authenticity policies and procedures.</li><li> <strong>Defined:</strong></li><li> <strong>Consistently Implemented:</strong></li><li> <strong>Managed and Measurable:</strong>The organization monitors, analyzes, and reports on the qualitative and quantitative performance measures  used to gauge the effectiveness of its component authenticity policies and procedures and ensures that data supporting the metrics is obtained accurately, consistently, and in a reproducible format.
In addition, the organization has incorporated component authenticity controls into its continuous monitoring practices.</li><li> <strong>Optimized:</strong>In a near real-time basis, the organization can update its supply chain risk management policies and procedures, as appropriate, to respond to evolving and sophisticated threats.</li></ul>",15,85,17,",",@PK_QGroup+3,4,53034
"Provide any additional information on the effectiveness (positive or negative) of the organization’s supply chain risk management program that was not noted in the questions above. Taking into consideration the overall maturity level generated from the questions above and based on all testing performed, is the supply chain risk management program effective?",,16,85,9,",",@PK_QGroup+3,5,53035
Please provide an IG self-assessment rating (Effective/Not Effective) for the agency’s identify function.,,16.1,85,17,",",@PK_QGroup+3,6,53036
"To what extent have the roles and responsibilities of configuration management stakeholders been defined, communicated, and implemented across the agency, and appropriately resourced?",<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong>Roles and responsibilities at the organizational and information system levels for stakeholders involved in information system configuration management have not been fully defined and communicated across the organization.</li><li> <strong>Defined:</strong>Roles and responsibilities at the organizational and information system levels for stakeholders involved in information system configuration management have been fully defined and communicated across the organization.</li><li> <strong>Consistently Implemented:</strong></li><li> <strong>Managed and Measurable:</strong></li><li> <strong>Optimized:</strong>The organization continuously evaluates and adapts its configuration management-based roles and responsibilities to account for a changing cybersecurity landscape.</li></ul>,17,85,17,,@PK_QGroup+4,1,53047
"To what extent does the organization use an enterprise wide configuration management plan that includes, at a minimum, the following components: roles and responsibilities, including establishment of a Change Control Board (CCB) or related body; configuration management processes, including processes for: identifying and managing configuration items during the appropriate phase within an organization’s SDLC; configuration monitoring; and applying configuration management requirements to contractor
operated systems?",<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong>The organization has not developed an organization wide configuration management plan with the necessary components.</li><li> <strong>Defined:</strong>The organization has developed an organization wide configuration management plan that includes the necessary components.</li><li> <strong>Consistently Implemented:</strong></li><li> <strong>Managed and Measurable:</strong></li><li> <strong>Optimized:</strong>The organization uses automation to adapt its configuration management plan and related processes and activities to a changing cybersecurity landscape on a near real-time basis (as defined by the organization).</li></ul>,18,85,17,",",@PK_QGroup+4,2,53048
To what extent does the organization use baseline configurations for its information systems and maintain inventories of related components at a level of granularity necessary for tracking and reporting?,"<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong>The organization has not established policies and procedures to ensure that baseline configurations for its information systems are developed, documented, and maintained under configuration control and that system components are inventoried at a level of granularity deemed necessary for tracking
and reporting.</li><li> <strong>Defined:</strong>The organization has developed, documented, and disseminated its baseline configuration and component inventory policies and procedures.</li><li> <strong>Consistently Implemented:</strong></li><li> <strong>Managed and Measurable:</strong></li><li> <strong>Optimized:</strong>The organization uses technology to implement a centralized baseline configuration and information system component inventory process that includes information from all organization systems (hardware and software) and is updated in a near real- time basis.</li></ul>",19,85,17,",",@PK_QGroup+4,3,53049
To what extent does the organization use configuration settings/common secure configurations for its information systems?,"<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong>The organization has not established policies and procedures for ensuring that configuration settings/common secure configurations are defined, implemented, and monitored.</li><li> <strong>Defined:</strong>The organization has developed, documented, and disseminated its policies and procedures for configuration settings/common secure configurations. In addition, the organization has developed, documented, and disseminated common secure configurations (hardening guides) that are tailored to its environment.
Further, the organization has established a deviation process.</li><li> <strong>Consistently Implemented:</strong></li><li> <strong>Managed and Measurable:</strong></li><li> <strong>Optimized:</strong>The organization deploys system configuration management tools that automatically enforce and redeploy configuration settings to systems at frequent intervals as defined by the organization, or on an event driven basis.</li></ul>",20,85,17,",",@PK_QGroup+4,4,53050
"To what extent does the organization use flaw remediation processes, including asset discovery, vulnerability scanning, analysis, and patch management, to manage software vulnerabilities on all network addressable IP- assets?","<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong>The organization has not developed, documented, and disseminated its policies and procedures for flaw remediation, including for mobile devices (GFE and non-GFE).</li><li> <strong>Defined:</strong>The organization has developed, documented, and disseminated its policies and procedures for flaw remediation, including for mobile devices. Policies and procedures include processes for: identifying, reporting, and correcting information system flaws, testing software and firmware updates prior to implementation, installing security relevant updates and patches within organizational-defined timeframes, and incorporating flaw remediation into the organization`s configuration management processes.</li><li> <strong>Consistently Implemented:</strong></li><li> <strong>Managed and Measurable:</strong></li><li> <strong>Optimized:</strong>The organization uses automated patch management and software update tools for all applications and network devices (including mobile devices), as appropriate, where such tools are available and safe.
As part its flaw remediation processes, the organization performs deeper analysis of software code, such as through patch sourcing and testing.</li></ul>",21,85,17,",",@PK_QGroup+4,5,53051
To what extent has the organization adopted the Trusted Internet Connection (TIC) program to assist  in protecting its network?,"<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong>The organization has not prepared and planned to meet the goals of the TIC initiative, consistent with OMB M-19-26.
Specifically, the agency has not defined and customized, as appropriate, its policies, procedures, and processes to implement TIC 3.0, including updating its network and system boundary policies, in accordance with OMB M-19-26. This
includes, as appropriate, the TIC security capabilities catalog, TIC use cases, and TIC overlays.
The agency has not defined processes to develop and maintain an accurate inventory of its network connections, including details on the service provider, cost, capacity, traffic volume, logical/physical configurations, and topological data for
each connection.</li><li> <strong>Defined:</strong>The organization has prepared and planned to meet the goals of the TIC initiative, consistent with OMB M-19-26.
Specifically, the agency has defined and customized, as appropriate, its policies, procedures, and processes to implement TIC 3.0, including updating its network and system boundary policies, in accordance with OMB M-19-26. This includes, as appropriate, incorporation of TIC security capabilities catalog, TIC use cases, and TIC overlays.
The agency has defined processes to develop and maintain an accurate inventory of its network connections, including details on the service provider, cost, capacity, traffic volume, logical/physical configurations, and topological data for each connection.</li><li> <strong>Consistently Implemented:</strong></li><li> <strong>Managed and Measurable:</strong></li><li> <strong>Optimized:</strong>The organization integrates its implementation of TIC
3.0 with the organization’s zero trust architecture strategy.
Further, for cloud-based environments, the organization provides telemetry on its cloud- based traffic to CISA via the National Cybersecurity Protection System.</li></ul>",22,85,17,",",@PK_QGroup+4,6,53052
"To what extent has the organization defined and implemented configuration change control activities including: determination of the types of changes that are configuration controlled; review and approval/disapproval of proposed changes with explicit consideration of security impacts and security classification of the system; documentation of configuration change decisions; implementation of approved configuration changes; retaining records of implemented changes; auditing and review of configuration changes; and coordination and oversight of changes by the CCB, as
appropriate?","<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong>The organization has not developed, documented, and disseminated its policies and procedures for managing configuration change control. Policies and procedures do not address, at a minimum, the necessary configuration change control related activities.</li><li> <strong>Defined:</strong>The organization has developed, documented, and disseminated its policies and procedures for managing configuration change control. The policies and procedures address, at a minimum, the necessary configuration change control related activities.</li><li> <strong>Consistently Implemented:</strong></li><li> <strong>Managed and Measurable:</strong></li><li> <strong>Optimized:</strong>The organization uses automation to improve the accuracy, consistency, and availability of configuration change control and configuration baseline information.
Automation is also used to provide data aggregation and correlation capabilities, alerting mechanisms, and dashboards on change control activities to support risk-based decision making across the organization.</li></ul>",23,85,17,",",@PK_QGroup+4,7,53053
To what extent does the organization use a vulnerability disclosure policy (VDP) as part of its vulnerability management program for internet- accessible federal systems?,"<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong>The organization has not developed, documented, and disseminated a comprehensive VDP.</li><li> <strong>Defined:</strong>The organization has developed, documented, and publicly disseminated a comprehensive VDP. The following elements are addressed:
<br> The systems in scope
<br> Types of testing allowed
<br> Reporting mechanisms
<br> Timely feedback
<br> Remediation
In addition, the organization has updated its vulnerability disclosure handling procedures to support the implementation of its
VDP.</li><li> <strong>Consistently Implemented:</strong></li><li> <strong>Managed and Measurable:</strong></li><li> <strong>Optimized:</strong>On a near real-time basis, the organization actively adapts its vulnerability disclosure policies and procedures and provides information to stakeholders and partners.
Within the context of its enterprise risk management program, the organization considers the use of a Bug Bounty program. As appropriate, Bug Bounty programs are implemented in accordance with OMB M-20-32.</li></ul>",24,85,17,",",@PK_QGroup+4,8,53054
"Provide any additional information on the effectiveness (positive or negative) of the organization’s configuration management program that was not noted in the questions above. Taking into consideration the overall maturity level generated from the questions above and based on all testing performed, is the configuration management program effective?",,25,85,9,",",@PK_QGroup+4,9,53055
"To what extent have the roles and responsibilities of identity, credential, and access management (ICAM) stakeholders been defined, communicated, and implemented across the agency, and appropriately resourced?","<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong>Roles and responsibilities at the organizational and information system levels for stakeholders involved in ICAM have not been fully defined and communicated across the organization.</li><li> <strong>Defined:</strong></li><li> <strong>Consistently Implemented:</strong></li><li> <strong>Managed and Measurable:</strong></li><li> <strong>Optimized:</strong>In accordance with OMB M-19-17, the
agency has implemented an integrated agency-wide ICAM office, team, or other governance structure in support of its ERM capability to effectively govern and enforce ICAM efforts.</li></ul>",26,85,17,,@PK_QGroup+5,1,53066
